rso_r_N,rso_v_N,inspector_r_N,inspector_v_N,r_DC_Hc,v_DC_Hc,inspector_sigma_BN,inspector_omega_BN_B,reward,dV_remaining
[ 3382902.88307816 -5028751.13222346 -3841560.78631403],[-6632.56006114 -3046.4075133  -1804.48505736],[ 3382895.3256351  -5028948.29994139 -3841412.79614491],[-6634.19559575 -3043.0398227  -1804.09887463],[  55.3856493    51.22940717 -234.82182989],[-3.28423354 -0.08394019  1.73871633],[ 0.64871915 -0.38339947  0.50064805],[-0.23297485  0.01648449 -0.24577065],0.07102287218318981,25.458167231554828
[ 3316396.09218734 -5058943.5420701  -3859397.66696111],[-6668.67911549 -2992.01939644 -1762.85832357],[ 3316374.72468464 -5059094.88420091 -3859254.69968411],[-6670.05979463 -2987.43629634 -1763.36166828],[  19.92929288   45.72203032 -203.25592796],[-3.55076405 -0.5138335   3.15768682],[ 0.38018781 -0.16804994 -0.35878242],[ 0.02740138 -0.26949762 -0.0958943 ],0.14838424269309902,23.9328448376917
[ 3249531.68777926 -5088590.42914795 -3876817.3056594 ],[-6704.0820698  -2937.30397969 -1721.03745141],[ 3249489.7909428  -5088691.07323761 -3876678.35890053],[-6706.13487855 -2932.23344107 -1721.44018459],[ -22.67262966   44.79965071 -169.3213591 ],[-4.26114458 -0.04782223  3.39437952],[-0.13855399  0.86456976  0.11659038],[0.36292012 0.02111511 0.0660381 ],0.1514888000592559,23.09687491474375
[ 3182316.85155126 -5117688.55113254 -3893817.78458154],[-6738.76479938 -2882.26740492 -1679.02715632],[ 3182253.1091571  -5117728.03348281 -3893668.93182879],[-6740.94949606 -2876.15019717 -1678.03680041],[ -80.89210726   38.78799116 -140.46725427],[-5.82903883 -0.54032056  2.8861675 ],[-0.13416193  0.38538229  0.67636389],[ 0.37270874  0.20444131 -0.11994328],0.17832835220356769,21.35008964572678
[ 3114758.80600589 -5146234.72732604 -3910397.23317817],[-6772.72326797 -2826.91585543 -1636.83217834],[ 3114653.58340799 -5146210.84067147 -3910241.62087592],[-6776.87168303 -2820.57751531 -1636.15594219],[-147.62592938   51.51894805 -106.8173158 ],[-6.66184024  1.34283721  3.36558264],[-0.38340133  0.36470514 -0.62519644],[ 0.32769905  0.2043684  -0.15954843],0.20576533090025106,19.35008964572678
[ 3046864.8135635  -5174225.83906706 -3926553.82842081],[-6805.95352836 -2771.25555506 -1594.45728148],[ 3046731.6655183  -5174142.82247665 -3926385.24521685],[-6808.74670874 -2765.34070822 -1593.15940624],[-208.68022611   53.64134916  -81.33647259],[-6.10605043  0.27611552  2.54850373],[ 0.21085222 -0.80073377  0.011121  ],[0.35450528 0.01275158 0.05462193],0.18327285975135732,17.79865344438256
[ 2978642.17566896 -5201658.83013144 -3942285.79503785],[-6838.45172297 -2715.29276726 -1551.90725299],[ 2978478.02095545 -5201527.52450401 -3942113.70129455],[-6841.55319453 -2710.4616563  -1551.55496948],[-257.92023655   65.74549671  -54.39554653],[-4.91506872  1.26190802  2.69436465],[-0.29515932  0.28389779 -0.64588087],[ 0.1030069  -0.00140393  0.02135546],0.1557410122279116,16.323376172821984
[ 2910098.23189253 -5228530.70712389 -3957591.40574359],[-6870.21408438 -2659.03379421 -1509.18690269],[ 2909908.14392539 -5228367.28723509 -3957405.24044077],[-6872.8083173  -2655.81983392 -1507.77817455],[-298.90375578   77.86835033  -45.71739363],[-4.09014166  1.25516216  0.86799161],[-0.0037128   0.45488212 -0.47406846],[-0.14221081  0.13256794  0.03436659],0.09576578871923147,14.323376172821984
[ 2841240.35902532 -5254838.53986051 -3972468.98146031],[-6901.23693593 -2602.48497586 -1466.30106225],[ 2841019.96809595 -5254654.78635856 -3972284.23688107],[-6904.26813703 -2600.4488333  -1466.44129884],[-324.17981364  101.99533345  -31.18446997],[-2.50736665  2.43908206  1.45338499],[-0.32340221  0.83118003  0.16049407],[-0.13782779 -0.0224529  -0.12942988],0.0676781371854936,12.323376172821984
[ 2772075.97016924 -5280579.46174204 -3986916.89153341],[-6931.51669222 -2545.65268902 -1423.2545845 ],[ 2771842.21591608 -5280381.92702927 -3986725.23754594],[-6932.85390655 -2544.27161143 -1422.56163555],[-342.24070613  111.69814055  -28.05510653],[-1.80132858  0.98917442  0.31296179],[-0.45864198  0.40461009  0.35673392],[ 0.04387592 -0.00069451 -0.02428703],-0.0501676167291244,10.323376172821984
[ 2702612.51382187 -5305750.67011793 -4000933.55393949],[-6961.04985959 -2488.54334647 -1380.05234273],[ 2702380.84354682 -5305536.8011201  -4000722.51523249],[-6960.84239722 -2486.90678733 -1378.11175361],[-363.15808643  104.35225743  -34.28135141],[-2.10516385 -0.71263291 -0.62259487],[-0.15138674  0.66591186 -0.17298723],[0.29449553 0.15724337 0.1210956 ],-0.029545129156775603,8.323376172821984
[ 2632857.47295623 -5330349.426641   -4014517.43548749],[-6989.83303669 -2431.16339596 -1336.69923   ],[ 2632633.76574601 -5330110.99348001 -4014297.37465306],[-6989.03776079 -2428.70370894 -1335.79477651],[-382.42295044   91.17829154  -27.59103372],[-1.94635161 -1.2971595   0.6690562 ],[-0.63106586  0.25232279  0.28570351],[0.24985075 0.18403293 0.07438521],-0.013489551897836592,6.8750738201502095
[ 2562818.36409577 -5354373.05761282 -4027667.05201274],[-7017.86291487 -2373.51931931 -1293.20015842],[ 2562608.84475785 -5354094.80735765 -4027439.64408513],[-7016.44530959 -2369.53420542 -1292.46301258],[-410.22222499   68.07631312  -10.92083894],[-2.81057656 -2.28097006  1.66698645],[-0.33973944  0.49801209 -0.27548766],[ 0.03204892  0.16740297 -0.05593148],0.08164680637885628,5.223973562679294
[ 2492502.73638467 -5377818.95431966 -4040380.96856409],[-7045.1362787  -2315.6176315  -1249.56005845],[ 2492311.81881339 -5377495.16559864 -4040127.4990517 ],[-7043.27752276 -2311.06014627 -1246.9512207 ],[-451.84107795   36.54943539   -6.26319713],[-4.2019202  -3.10892185  0.46571071],[-0.02124418 -0.38114079  0.20350398],[-0.24211713  0.16205212 -0.02548737],0.13280807397505118,3.2239735626792942
[ 2421918.17065368 -5400684.57335903 -4052657.79958382],[-7071.65000637 -2257.46487964 -1205.78387822],[ 2421757.38481512 -5400304.49660529 -4052365.86779678],[-7068.63859926 -2251.83209654 -1201.93469041],[-505.36758601  -10.16023927   -5.91315848],[-5.40936825 -4.61465763  0.03497708],[-0.89905037 -0.09873802 -0.38417864],[-0.25368559 -0.03952764  0.11422646],0.19332168835826122,1.2239735626792945
[ 2351072.27848163 -5422967.43695673 -4064496.20908069],[-7097.40107015 -2199.06764211 -1161.87658277],[ 2350942.91788142 -5422543.06809949 -4064164.28350136],[-7094.26066177 -2194.63409541 -1157.87399749],[-551.29220385  -53.68131301  -13.88901386],[-4.6466556  -4.30378015 -0.79752929],[ 0.48451981 -0.71719593  0.08063292],[ 0.02467407 -0.03118332  0.13052263],-0.820114055746769,0.0
[ 1106911.40647012 -7151645.19005018 -1150705.55176669],[ 4183.53423357  1581.48685399 -5862.93809749],[ 1107149.89785813 -7152178.98415956 -1151107.77283081],[ 4185.0483845   1580.84116686 -5862.20001299],[620.15689906 339.84837651 -59.19948747],[ 1.08499124 -0.49128969  1.63849386],[-0.39704122 -0.68084283 -0.25126173],[ 7.32615042e-05 -9.95605918e-05 -7.12049562e-05],-0.046739712827073156,48.0
[ 1148689.91273158 -7135467.9616996  -1209275.45202633],[ 4172.09650813  1653.93083728 -5850.94282852],[ 1148935.90798559 -7136000.15761192 -1209658.88104988],[ 4172.84712246  1654.08415744 -5849.06318323],[620.06425163 323.28802373 -42.06123813],[-0.01649649 -1.65589667  1.71414151],[-0.39065519 -0.22310617 -0.67542409],[-0.28958274  0.0823582   0.04379149],-0.013388326702675552,46.4049905030821
[ 1190351.92845517 -7118567.14513073 -1267722.42799425],[ 4160.23633082  1726.20327455 -5838.3534583 ],[ 1190611.77851043 -7119097.27810355 -1268095.33581235],[ 4161.62203541  1726.40306582 -5837.30104235],[621.71241781 317.00327784 -24.61406652],[ 0.16793515 -0.63012541  1.7449455 ],[ 0.22293689 -0.54217436  0.58882104],[-0.08664495  0.01480766 -0.00434801],-0.05222343889201807,45.36016465284361
[ 1231893.2353383  -7100944.49246404 -1326040.54533328],[ 4147.95495198  1798.29683702 -5825.17133196],[ 1232171.29403987 -7101482.00929873 -1326385.77253789],[ 4149.7760253   1797.55190205 -5822.40317914],[630.07790166 297.29979262   6.12234026],[ 0.82623486 -1.97871678  3.0737374 ],[ 0.48045322 -0.35641475  0.63674879],[0.18443721 0.00949981 0.02159404],0.06813657074564666,43.36016465284361
[ 1273309.62779521 -7082601.82900842 -1384223.88345928],[ 4135.25366463  1870.20421591 -5811.39785494],[ 1273623.68021534 -7083144.57785163 -1384550.29602598],[ 4138.85317263  1869.67437503 -5809.51651458],[640.79445137 294.96610904  46.12871887],[ 1.07896202 -0.24416816  4.00054556],[ 0.00416693  0.41220177 -0.69411011],[0.0187909  0.19686977 0.05095956],0.0880202165577132,41.36016465284361
[ 1314596.91338307 -7063541.05305733 -1442266.53614324],[ 4122.1338043   1941.91812321 -5797.0344928 ],[ 1314954.55212547 -7064099.29614792 -1442589.62335318],[ 4126.49247396  1940.36184818 -5796.70226093],[665.82914508 306.14973339  82.88578758],[2.52463634 1.0930994  3.67542513],[-0.30240487  0.09601554  0.69929182],[ 0.26980011  0.0493656  -0.01928492],0.10787433010407105,39.36016465284361
[ 1355750.91322641 -7043764.13567739 -1500162.61211158],[ 4108.5967489   2013.43129242 -5782.08277104],[ 1356147.97457785 -7044339.67283026 -1500481.89229177],[ 4112.53896852  2011.69477014 -5781.70254942],[692.0124883  313.66776202 116.49813605],[2.63620063 0.7253858  3.36078348],[-0.13457552  0.4106745  -0.13687153],[ 0.19910559 -0.09148206 -0.14638376],0.11257120556578529,38.90920775149716
[ 1396767.46244001 -7023273.12048966 -1557906.23564468],[ 4094.64391854  2084.73647928 -5766.54427492],[ 1397191.15074735 -7023878.69330326 -1558218.83819422],[ 4097.30656773  2081.7254837  -5765.87720864],[727.57421715 307.7249228  141.03793372],[ 3.56095673 -0.63010212  2.45339387],[-0.06648518  0.12427659 -0.32424103],[ 0.00303038 -0.09107684  0.05911535],0.1006174110982318,37.09069549327071
[ 1437642.41055007 -7002070.12344342 -1615491.54717348],[ 4080.27677537  2155.82646253 -5750.42064926],[ 1438074.72334428 -7002714.19619771 -1615800.09772351],[ 4081.1392795   2151.96868484 -5750.01638665],[768.21759085 290.70317328 149.20088784],[ 4.05854956 -1.74307696  0.81564165],[-0.14337065 -0.21004414 -0.16440142],[ 0.17153868 -0.04948483 -0.04819112],0.10434877943874565,35.09069549327071
[ 1478371.62191372 -6980157.3325826  -1672912.70387416],[ 4065.4968234   2226.69404462 -5733.71359826],[ 1478819.76221465 -6980837.73348037 -1673213.75408584],[ 4067.07974543  2223.05309609 -5732.96476045],[807.18554219 274.84356478 165.28416843],[ 3.89278306 -1.62518493  1.60760367],[ 0.54062513 -0.37963551 -0.31601992],[ 0.00208526 -0.03615228 -0.16659425],0.11745340748235561,34.25813074053952
[ 1518950.97613673 -6957537.0078049  -1730163.8802608 ],[ 4050.30560832  2297.33205246 -5716.42488526],[ 1519407.29020631 -6958261.9203499  -1730448.88537443],[ 4051.12329905  2292.8724019  -5714.8218815 ],[850.07395889 244.84649034 179.92527166],[ 4.27122559 -3.04283452  1.46330672],[ 0.46431444  0.00111078 -0.44423275],[-0.04718967 -0.06200991  0.01995816],0.14822344120115574,32.85670892974156
[ 1559376.36848952 -6934211.48061346 -1787239.26877597],[ 4034.70471734  2367.73333818 -5698.55633257],[ 1559834.7863375  -6934982.37501551 -1787495.317574  ],[ 4034.91558815  2363.12635466 -5695.66258074],[889.3872386  200.24696122 197.17399366],[ 3.89964971 -4.49944008  1.72397779],[ 0.22314109 -0.45418939 -0.62569484],[ 0.23885004 -0.16867101  0.08634689],0.1733455745314407,31.42087524681813
[ 1599643.71032119 -6910183.15386134 -1844133.08037918],[ 4018.69577895  2437.8907798  -5680.10982125],[ 1600105.73800751 -6911007.8438125  -1844360.4615297 ],[ 4019.05745779  2432.50210026 -5677.24535307],[935.65422404 153.33664288 215.23088318],[ 4.59334082 -4.73751403  1.80469077],[ 0.06887926  0.29269806 -0.27346586],[ 0.22180148 -0.20029206 -0.0675007 ],0.19950329990831053,30.64242175199724
[ 1639748.92947183 -6885454.50148864 -1900839.54513312],[ 4002.28046282  2507.797282   -5661.08729084],[ 1640206.73358419 -6886344.49686933 -1901028.00053053],[ 4001.85905368  2501.2572593  -5657.19749676],[987.46321687  89.46900745 232.60161606],[ 5.13122451 -6.43877157  1.73597033],[ 0.14412561 -0.56127999 -0.67719758],[ 0.31509815 -0.17900419 -0.06635851],0.230784503572722,28.92166631861596
[ 1679687.97068278 -6860028.06825246 -1957352.91278768],[ 3985.46047951  2577.44577682 -5641.49073918],[ 1680136.75479596 -6860972.59364431 -1957508.79261811],[ 3984.5597      2571.9830062  -5638.23643401],[1028.58742955   30.62364464  242.70148287],[ 4.06851472 -5.92582068  1.00879736],[ 0.26653191  0.32356993 -0.08488891],[ 0.11012587 -0.15145554  0.06932477],0.20561317282103472,27.568658325732493
[ 1719456.79600502 -6833906.46944953 -2013667.45336161],[ 3968.23758034  2646.82922441 -5621.32222217],[ 1719883.44772848 -6834890.64423789 -2013790.58470775],[ 3966.02583802  2642.85438477 -5618.05103053],[1051.62430094  -30.86481979  242.74828143],[ 2.25762541e+00 -6.17193275e+00  3.45103080e-03],[ 0.40422717 -0.03611921 -0.51116063],[ 0.03380906 -0.20726422  0.0488469 ],0.1797298091178113,25.568658325732493
[ 1759051.38520545 -6807092.39063173 -2069777.45772175],[ 3950.61355716  2715.94061372 -5600.5838535 ],[ 1759455.07462501 -6808115.36403071 -2069862.15812384],[ 3948.31909819  2712.0508193  -5596.74481069],[1070.93175927  -97.25377203  245.48065385],[ 1.88008047 -6.65821536  0.27197455],[0.24671633 0.90632992 0.33571963],[ 0.26004739 -0.15972423  0.05926877],0.2043161444058244,24.977050282837723
[ 1798467.73617118 -6779588.58731444 -2125677.2381599 ],[ 3932.59024211  2784.77296321 -5579.27780443],[ 1798840.85707583 -6780644.68772916 -2125737.85927637],[ 3929.53545184  2781.45033515 -5576.87426983],[1086.0576893  -155.07905549  233.81915514],[ 1.47080748 -5.79767421 -1.16740561],[ 0.02879434  0.2971622  -0.85919188],[ 0.21790841 -0.07253365 -0.0725411 ],0.1681312078747052,23.255230070433626
[ 1837701.8653117  -6751397.88467775 -2181361.12896708],[ 3914.16950749  2853.3193216  -5557.40630349],[ 1838026.81111942 -6752487.41887942 -2181393.62895404],[ 3909.35440206  2849.96609691 -5554.59889426],[1094.79208308 -225.7222465   210.2630875 ],[ 0.81894862 -7.07298982 -2.35678894],[ 0.18658845 -0.41258262 -0.82977241],[ 0.20853817  0.09767685 -0.0694412 ],0.20766707350762847,21.442478750940204
[ 1876749.80795892 -6722523.17726063 -2236823.48700525],[ 3895.35326546  2921.57276852 -5534.97163629],[ 1877041.47741459 -6723638.16690609 -2236825.33733159],[ 3892.0283355   2919.01751734 -5531.91167384],[1097.93970338 -287.41066208  200.49918607],[ 0.26937398 -6.17191485 -0.97753192],[-0.32424198  0.51996513 -0.23165293],[0.22321797 0.01042659 0.00071384],0.17340366607700441,19.7272866151997
[ 1915607.61876497 -6692967.42864798 -2292058.69227633],[ 3876.14346786  2989.52641525 -5511.97614518],[ 1915854.8643893  -6694114.19250578 -2292025.68048383],[ 3871.70409764  2986.33945813 -5508.49524858],[1101.49594626 -360.75491459  183.98395236],[ 0.2985643  -7.33786744 -1.65262287],[ 0.09187191  0.54919883 -0.42728891],[-0.03719819  0.04927877 -0.0197203 ],0.21324826756162524,18.37947240281282
[ 1954271.37209781 -6662733.67115074 -2347061.14848857],[ 3856.54210598  3057.17340543 -5488.42222901],[ 1954485.35313695 -6663908.1537391  -2346986.04087197],[ 3853.21893787  3054.39220536 -5484.21829165],[1100.65973171 -432.05635661  180.86970245],[-0.13860163 -7.12916931 -0.31252262],[-0.45554949  0.58010871  0.03603389],[-0.26549676 -0.19046602 -0.18146093],0.2024740472073795,16.982793465073506
[ 1992737.16243455 -6631825.00547901 -2401825.28362007],[ 3836.55121031  3124.50691571 -5464.31234287],[ 1992910.47498115 -6633012.68672119 -2401715.17119658],[ 3832.48788995  3123.17802799 -5460.81777064],[1085.67319005 -495.80222132  168.05534625],[-1.546143   -6.3594049  -1.28252174],[-0.07606088  0.44832702 -0.50058875],[-0.26286293 -0.38726239  0.0030119 ],0.18534321786447813,15.191934715129387
[ 2031001.10475245 -6600244.60040822 -2456345.55047946],[ 3816.17285036  3191.52015648 -5439.64899773],[ 2031132.98963507 -6601443.32972644 -2456196.82151518],[ 3812.03383201  3190.4067054  -5435.79347372],[1066.1595737  -561.40902721  156.81062785],[-2.00097971 -6.54093481 -1.12553324],[-0.53070997 -0.38720933  0.23890895],[-0.19960685 -0.38684053 -0.20502522],0.20653668483225635,14.7443144596476
[ 2069059.3349175  -6567995.69243847 -2510616.42726373],[ 3795.40913433  3258.20637254 -5414.43476023],[ 2069162.46780548 -6569198.39798234 -2510442.94612055],[ 3792.53785294  3257.80047079 -5411.96584332],[1047.42788039 -606.83349122  147.92117563],[-1.90278094 -4.5235508  -0.88999465],[-0.25546776 -0.13188159  0.19087297],[-0.22845553 -0.385108   -0.01710096],0.12770020719643663,12.7443144596476
[ 2106908.01007072 -6535081.58544699 -2564632.41811298],[ 3774.26220897  3324.55884376 -5388.67225231],[ 2106989.71000502 -6536298.14869348 -2564445.28775574],[ 3772.12299394  3323.16504839 -5387.31378797],[1042.69088037 -644.53930359  138.14339178],[-0.4957392  -3.76578286 -0.97880832],[0.00606064 0.4222993  0.20997746],[-0.24723018 -0.16664417 -0.01305825],0.08698521672321885,11.109329765274682
[ 2144543.30901182 -6501505.65033382 -2618388.0536622 ],[ 3752.73425925  3390.57088582 -5362.36415094],[ 2144590.11889879 -6502736.46741452 -2618177.35161038],[ 3749.24952596  3389.13775602 -5360.01360392],[1030.17089084 -696.45415263  123.27512014],[-1.2884519  -5.17880766 -1.48781606],[-0.19508829  0.05103502  0.23901764],[ 0.00635928  0.02564841 -0.01246914],0.15105872827462696,9.42278463974529
[ 2181961.43258055 -6467271.32466081 -2671877.89158989],[ 3730.82750815  3456.23585082 -5335.51318782],[ 2181963.84218255 -6468525.13100835 -2671648.54696855],[ 3726.39200047  3453.92947037 -5333.65572274],[1023.38622559 -753.52513501   97.54805408],[-0.72025565 -5.70016464 -2.57361726],[-0.14571064  0.50145194  0.22541406],[0.00881776 0.23704444 0.08044154],0.17885304482561118,8.048871719363236
[ 2219158.60403539 -6432382.11228383 -2725096.51716359],[ 3708.54421639  3521.54712794 -5308.122149  ],[ 2219100.95087782 -6433657.22733057 -2724849.94613078],[ 3702.54276586  3519.40914034 -5306.40643895],[1009.86782148 -816.57837943   58.36331567],[-1.39979319 -6.29158641 -3.91924624],[ 0.38931362 -0.53675986 -0.41190441],[-0.18772492  0.06553946 -0.08815723],0.21172247220048107,6.457669743487238
[ 2256131.0694297  -6396841.58297846 -2778038.54378207],[ 3685.88668219  3586.49814417 -5280.19387461],[ 2256006.52447437 -6398128.96234447 -2777791.24560467],[ 3679.20265397  3585.26497037 -5280.12813746],[ 991.44375079 -866.62253324    4.25915459],[-1.87751586 -4.98576783 -5.4109814 ],[ 0.44637078 -0.05202158 -0.87376707],[ 0.01342988 -0.12291285 -0.11447226],0.2089284419923055,4.457669743487238
[ 2292875.0979853  -6360653.37205898 -2830698.6135143 ],[ 3662.85724097  3651.08236489 -5251.73125851],[ 2292683.58135924 -6361950.39818686 -2830447.37568031],[ 3656.16553876  3650.11135761 -5251.34426835],[ 968.57953604 -917.40438777  -47.9449199 ],[-2.32258115 -5.05504141 -5.220741  ],[0.10032176 0.2727066  0.51538264],[ 0.24159635 -0.01644167 -0.0324979 ],0.22582677271862375,4.02371777651357
[ 2329386.98246325 -6323821.17999101 -2883071.39763506],[ 3639.45826512  3715.29329456 -5222.73724795],[ 2329132.04259945 -6325111.32547134 -2882820.29622616],[ 3633.12165689  3715.97550538 -5222.75779212],[ 933.2680835  -954.83031917  -99.15320487],[-3.5543058  -3.70694859 -5.12093812],[0.03011052 0.77373815 0.2683471 ],[ 0.01215243  0.16032472 -0.0701558 ],0.20271490790510405,2.278528006060144
[ 2365663.03953214 -6286348.77199747 -2935151.5971571 ],[ 3615.69216371  3779.12447736 -5193.21484322],[ 2365347.48237147 -6287622.46437642 -2934894.32371487],[ 3609.63632544  3780.76449199 -5192.60440738],[ 887.47478922 -989.789542   -144.09504835],[-4.6006163  -3.44971653 -4.49408616],[ 0.34155487 -0.23112251 -0.16382921],[-0.17549343  0.18260647 -0.04526895],0.20951890700296227,1.0843708104891634
[ 2401699.61013345 -6248239.97765833 -2986933.94335986],[ 3591.56138221  3842.56949782 -5163.16709729],[ 2401313.88354619 -6249492.47737347 -2986669.84474364],[ 3584.55048379  3844.68410421 -5162.49116184],[  833.64076488 -1026.55810039  -196.24005013],[-5.40725782 -3.62253176 -5.2141796 ],[ 0.22731827  0.10297152 -0.24176052],[ 0.04229863 -0.02517399 -0.02785139],-0.7634516455471207,-2.220446049250313e-16
[-5351303.34632291  4325117.8581524    -32791.51838915],[4681.41249141 5810.91379363 1510.22587933],[-5351451.46646357  4325623.74394403   -32956.60824459],[4680.75921682 5809.82686152 1511.78948966],[433.97630654 262.02978249 219.36186783],[ 0.10731631 -1.40120795 -1.78085241],[0.02654083 0.35463033 0.07352926],[-6.90932948e-05  1.11300929e-04 -4.02897375e-05],-0.029905534455863025,48.0
[-5304162.33666038  4382960.83350511   -17687.55317166],[4746.69295531 5757.56333308 1510.53622635],[-5304307.62102128  4383463.68654078   -17851.23574465],[4746.97126888 5757.26202421 1510.67793631],[432.72750041 256.96817224 217.8875273 ],[-0.12251216 -0.50478182 -0.14877813],[ 0.23928789  0.10105868 -0.18954676],[ 0.18908837 -0.23106557 -0.04510488],-0.25055720300226203,46.12221552226868
[-5.25637143e+06  4.44026678e+06 -2.58141266e+03],[4811.39053478 5703.50850226 1510.66093496],[-5.25650837e+06  4.44075775e+06 -2.75796038e+03],[4812.21984242 5702.32214501 1509.37546917],[421.5059509  245.99094472 229.76921316],[-1.12643622 -1.08528626  1.18678069],[0.13033145 0.86879195 0.23771186],[ 0.19630088 -0.22667425  0.04656192],-0.05498358346195817,44.347898264998285
[-5207936.49522114  4497028.67776569    12525.04670308],[4875.49734106 5648.75593824 1510.59999709],[-5208068.6847137   4497506.94615366    12345.94863283],[4875.96740085 5647.4878425  1510.34606546],[412.30081106 234.4314304  230.95622373],[-0.92562929 -1.14574467  0.11728572],[ 0.24781148  0.28886834 -0.36894058],[ 0.16816894 -0.26159252 -0.03876905],-0.10017283248825415,43.257550718681955
[-5158863.47866662  4553239.59229168    27629.96850692],[4939.00555786 5593.31236274 1510.35342752],[-5159003.66445469  4553690.63100605    27443.07443685],[4938.20115363 5590.59149877 1509.57498404],[402.81466496 203.12264229 233.45001252],[-0.97575175 -3.12028169  0.24795243],[-0.24588641 -0.79221779 -0.16270444],[ 0.20175003 -0.24062804  0.08142974],0.04036622343017027,41.257550718681955
[-5109158.40518446  4608892.64432706    42731.49660367],[5001.90744228 5537.18458132 1509.92126384],[-5109297.06226106  4609321.2076465     42536.43520812],[5002.05577427 5534.93919936 1509.10575238],[388.79737003 181.70028499 238.2495817 ],[-1.41813957 -2.12666667  0.47850682],[ 0.00985017  0.42379884 -0.44661462],[ 0.15169363 -0.27305921 -0.09626937],0.004579979365301712,40.185728078653234
[-5058827.3765033   4663981.02618679    57827.77533534],[5064.19532582 5480.37948257 1509.30356647],[-5058945.553618    4664384.59844617    57619.0102393 ],[5066.23908494 5477.88243231 1507.93450276],[358.67287263 170.32153557 250.52666379],[-3.01813718 -1.10452648  1.22619892],[-0.21880836 -0.78539439 -0.09112908],[ 0.18659866 -0.2535375  -0.04156426],0.04943859697420329,38.185728078653234
[-5007876.57066078  4718497.99948323    72916.94976218],[5125.86161535 5422.90403725 1508.50041864],[-5007979.69404742  4718863.03341797    72699.31891874],[5127.36315135 5419.05209851 1507.61522338],[323.05874816 147.29052945 255.31536493],[-3.58059003 -2.26363136  0.47731696],[ 0.01891258  0.10141744 -0.31088733],[ 0.18263247 -0.38050113 -0.03705263],0.09624479560682324,36.648450931374335
[-4956312.24124547  4772436.89594364    87997.16589055],[5186.89879397 5364.76529744 1507.51192634],[-4956393.97844795  4772756.16229173    87762.51643305],[5189.0340668  5360.19020788 1505.81153636],[277.30411931 122.68159678 267.81334997],[-4.59712364 -2.41019828  1.24818467],[-0.20246759  0.70682988  0.07138597],[ 0.16888637 -0.19724796 -0.18990726],0.14350863546013665,35.38055048261497
[-4904140.71662928  4825791.11821894   103066.57090067],[5247.29942207 5305.97039564 1506.33821834],[-4904208.6552782   4826056.25987576   102798.41023871],[5248.67648462 5300.55935387 1502.98874099],[230.3500203   84.78826186 294.23751906],[-4.73261819 -3.73725717  2.64066919],[-0.22298945  0.04112955 -0.22220833],[ 0.19326687 -0.18592797 -0.18550571],0.17774726699048538,33.38055048261497
[-4851368.39919056  4878554.14068366   118123.31337402],[5307.05613812 5246.52654391 1504.97944612],[-4851411.2121596   4878762.29483592   117812.14464462],[5309.56652354 5240.82889341 1500.68052064],[172.41872223  52.00436001 330.99004568],[-5.82563801 -3.21419049  3.67329928],[ 0.33564247 -0.54585695 -0.14350397],[ 0.16785166 -0.00171649 -0.05086078],0.211340795841497,31.868352515665176
[-4798001.76452814  4930719.51022699   133165.54352048],[5366.1616597  5186.44103298 1503.43578388],[-4798025.83803958  4930877.56042384   132806.43711358],[5368.03399437 5181.43139964 1498.64417156],[123.08733944  19.7262939  372.79644626],[-4.96608124 -3.17312462  4.17843896],[ 0.26109961 -0.47809401  0.16702673],[-0.05901598  0.17788248  0.10489023],0.20585377186216672,30.809666257144208
[-4744047.36066616  4982280.84703474   148191.41340513],[5424.60878433 5125.72123129 1501.70742845],[-4744067.97181841  4982391.87160616   147771.84088759],[5424.95390449 5121.01919459 1495.66330828],[ 85.56034846 -22.74087643 425.38764891],[-3.79772411 -4.20505544  5.2566165 ],[-0.41034171  0.04217512  0.25095256],[-0.02254787  0.16508656  0.13517195],0.20981735449729333,28.809666257144208
[-4689511.80725003  5033231.84536199   163199.07717471],[5482.39039037 5064.37458411 1499.79459932],[-4689535.15334718  5033292.62287659   162702.85611327],[5482.11626584 5059.35022087 1492.13266166],[ 48.59674987 -74.1651105  492.55677909],[-3.75197856 -5.10135255  6.71402364],[-0.14664919  0.67191001  0.24633853],[ 0.17983734 -0.01875353  0.14345246],0.24764406520410706,27.042798015583315
[-4634401.79473362  5083566.27429658   178186.69128361],[5539.49943792 5002.40861255 1497.69753854],[-4634422.85696465  5083566.66645751   177620.52080855],[5539.72775735 4996.37016956 1490.70593883],[-1.85957467e-01 -1.26454961e+02  5.52269759e+02],[-4.93562256 -5.17484069  5.96802237],[ 0.13386193  0.4088471  -0.00576985],[-0.03753511 -0.2044422  -0.0309577 ],0.2541717889294056,25.730422459863657
[-4578724.08355772  5133277.97851293   193152.41471951],[5595.92896964 4939.83091265 1495.41651069],[-4578735.22624171  5133212.79286261   192513.3360968 ],[5596.92149728 4933.27285689 1488.1294519 ],[ -59.15091394 -176.0016433   615.07674753],[-5.95179229 -4.88927583  6.2770389 ],[-0.25366535 -0.24090353 -0.07767973],[-0.07806985 -0.20631852 -0.03315413],0.27061055589847205,24.758889892176303
