rso_r_N,rso_v_N,inspector_r_N,inspector_v_N,r_DC_Hc,v_DC_Hc,inspector_sigma_BN,inspector_omega_BN_B,reward,dV_remaining
[ 2343395.07822359 -6526635.85858083  2617496.44030611],[ 6885.42805601  1864.36163631 -1541.93424292],[ 2343477.86758053 -6526498.7135346   2617691.64743867],[ 6883.22659997  1864.55802083 -1541.46384127],[-25.65166425  71.86703518 240.71931228],[-0.63205033 -2.10182479  0.29636411],[-0.43511826 -0.52476992 -0.35605023],[ 6.89048345e-05 -6.71888123e-05  7.44041913e-05],-0.03917676735033758,48.0
[ 2412133.4895482  -6507672.97529137  2601948.87364146],[ 6862.14182999  1928.18457599 -1567.553857  ],[ 2412177.53828921 -6507537.43950383  2602138.39816081],[ 6858.26733013  1928.02341792 -1568.12323232],[-38.13228716  36.46569436 231.1838371 ],[-1.28337111 -3.52754273 -0.954754  ],[-0.32449481 -0.74685468  0.23638553],[ 0.23638789 -0.20847495 -0.07313873],0.07169978494450403,46.0
[ 2480635.67085002 -6488072.78608543  2586145.87191382],[ 6838.1824139   1991.82180957 -1593.02084838],[ 2480635.65977711 -6487942.17632015  2586310.69648178],[ 6833.77611559  1991.32920679 -1595.49195224],[-56.82358388  -0.42548454 202.47703175],[-1.90613072 -3.67041156 -2.87175017],[-0.23326489  0.18966698 -0.3037505 ],[-0.02050924 -0.21505174  0.10922679],0.12396715566810965,44.0
[ 2548894.90120203 -6467837.17829954  2570088.97354244],[ 6813.55201248  2055.26728452 -1618.33278079],[ 2548858.86115121 -6467711.26527524  2570236.07958841],[ 6809.94890093  2054.79783525 -1620.10572325],[-71.2606761  -30.91928912 180.99468864],[-1.47465909 -3.03490378 -2.14915854],[-0.0856656   0.05117537  0.17565783],[-0.00626698 -0.00608751  0.11083121],0.08751918901277242,42.933767625768674
[ 2616904.4820243  -6446968.0997175   2553779.74124339],[ 6788.25289038  2118.51496399 -1643.48723118],[ 2616843.33868493 -6446835.49548706  2553914.49073664],[ 6785.74238863  2119.18451875 -1644.72399526],[-90.50292144 -48.87265457 170.00147251],[-1.94307046 -1.77618326 -1.10015178],[0.11519889 0.30727068 0.1332201 ],[ 0.2311199   0.00292006 -0.05875662],0.014057236479832754,41.26645480508058
[ 2684657.73768234 -6425467.55841152  2537219.76189658],[ 6762.28737201  2181.55882722 -1668.48178986],[ 2684584.1713501  -6425331.85053316  2537357.1718419 ],[ 6761.04491247  2181.86974108 -1668.21689465],[-97.25967371 -59.18199827 172.47658829],[-0.68719517 -1.02410799  0.24670451],[ 0.52194127  0.1407442  -0.80185957],[ 0.22285286 -0.01446574 -0.06477296],-0.15096707119027072,39.26645480508058
[ 2752148.01608397 -6403337.62257886  2520410.6464109 ],[ 6735.6578414   2244.39287004 -1693.31406075],[ 2752053.31212655 -6403215.67380076  2520544.41920025],[ 6733.54399119  2243.0175545  -1693.67891953],[-95.03627399 -81.11101696 161.63110084],[ 0.19933606 -2.19487915 -1.08531692],[-0.45372204  0.11369171  0.24639898],[-0.01476558  0.18692219 -0.05965384],-0.019044604333086936,37.26645480508058
[ 2819368.68927483 -6380580.42037374  2503354.02958732],[ 6708.36674205  2307.0111053  -1717.98166154],[ 2819261.37034785 -6380479.10035388  2503486.56696988],[ 6707.10526789  2304.9488012  -1718.10628952],[-83.28684974 -97.970969   151.04385516],[ 1.15702392 -1.69737907 -1.0594241 ],[ 0.93889222 -0.23331684  0.10826315],[-0.09703242  0.1887637  -0.06893203],-0.022276821210267084,36.144468544534035
[ 2886313.15403227 -6357198.13973477  2486051.56998032],[ 6680.41657678  2369.40756335 -1742.48222388],[ 2886194.55350543 -6357103.87240343  2486168.21407325],[ 6679.28848985  2368.70290895 -1744.07257923],[ -87.92301597 -105.97530021  132.65382824],[-0.47274991 -0.7957166  -1.83961254],[0.30358172 0.18708054 0.92755787],[0.14760408 0.19286069 0.07854336],-0.05415940654222961,34.144468544534035
[ 2952974.83245784 -6333193.02820773  2468504.94975719],[ 6651.80990759  2431.57629248 -1766.81339358],[ 2952850.91504698 -6333092.22102972  2468592.26252888],[ 6651.27823546  2432.23105311 -1769.74749582],[-106.43966743 -100.71042183  108.02379406],[-1.84788931  0.54481931 -2.46349738],[ 0.00282197 -0.16341482 -0.47634729],[-0.06942477 -0.00315708  0.04857655],0.028882023486620445,32.144468544534035
