sim_time,r_DC_Hc,v_DC_Hc,sigma_BN,reward,dV_remaining,hill_x,hill_y,hill_z,sigma_1,sigma_2,sigma_3
38.5,[1060.83296344  472.60037311  259.11883442],[ 3.82473037 -0.56282072  1.73508218],[-0.40057323 -0.7374093  -0.16282683],-1.1721072530165755,45.881825830273975,1060.8329634368522,472.60037310988514,259.1188344235887,-0.4005732318306105,-0.7374092951669128,-0.16282682790121217
39.0,[1099.59624934  466.85712249  276.67104036],[ 3.8866585  -0.61222233  1.75337406],[-0.40161089 -0.74434546 -0.15741699],-1.206965239318117,45.828343056243796,1099.5962493448244,466.8571224886362,276.6710403590325,-0.40161089428418256,-0.7443454584435898,-0.15741698927486414
39.5,[1138.97968679  460.61359292  294.40525554],[ 3.94875977 -0.66283529  1.77149209],[-0.40377861 -0.74076776 -0.15482875],-1.2416280326628613,45.774860282213616,1138.9796867858972,460.6135929246172,294.4052555351866,-0.4037786148660464,-0.7407677619343666,-0.1548287506796728
40.0,[1178.9849798   453.85764831  312.319726  ],[ 4.01102871 -0.7146634   1.78943453],[-0.40301246 -0.73281058 -0.16264055],-1.2761007355087275,45.72137750818344,1178.9849797955276,453.8576483054655,312.3197260011336,-0.4030124580619589,-0.7328105796088084,-0.16264055411566677
40.5,[1219.61377761  446.57711479  330.41268041],[ 4.07345983 -0.7677104   1.80719967],[-0.40277281 -0.72873578 -0.17547505],-1.310388188732153,45.66789473436211,1219.6137776084634,446.57711479343095,330.41268040813276,-0.40277280792773207,-0.7287357830410556,-0.17547504813151277
41.0,[1260.86767445  438.7597816   348.68233012],[ 4.13604761 -0.82197996  1.82478582],[-0.40637433 -0.7273598  -0.18419488],-1.344494982047831,45.614411963620014,1260.8676744508657,438.7597816046711,348.6823301177958,-0.40637433133588696,-0.7273598036009019,-0.18419487582731647
41.5,[1302.74820943  430.3934018   367.12686933],[ 4.19878654 -0.87747566  1.84219127],[-0.40999516 -0.72677939 -0.1863077 ],-1.3784254700783511,45.56092919194048,1302.748209428201,430.3934018030693,367.12686933107545,-0.40999516319357204,-0.7267793884364699,-0.1863077041377058
42.0,[1345.25686633  421.465693    385.7444752 ],[ 4.26167108 -0.93420102  1.85941434],[-0.41072985 -0.72637904 -0.1816855 ],-1.412183780685174,45.507446420989545,1345.2568663253992,421.4656929999514,385.7444751969617,-0.4107298473832468,-0.726379035995407,-0.18168550320496452
42.5,[1388.39507337  411.96433812  404.53330804],[ 4.32469566 -0.99215946  1.87645339],[-0.40915019 -0.7250245  -0.17503698],-1.4457738265829714,45.453963653117846,1388.3950733710528,411.9643381192294,404.5333080350895,-0.4091501881837549,-0.7250245025286495,-0.1750369767597467
43.0,[1432.16420315  401.87698618  423.4915114 ],[ 4.3878547  -1.05135435  1.89330677],[-0.4090281  -0.72478032 -0.1722101 ],-1.4791993179060015,45.400480886183594,1432.1642031475394,401.8769861751843,423.4915114000485,-0.40902810035543047,-0.7247803183500866,-0.17221009992200367
43.5,[1476.56557236  391.19125305  442.61721225],[ 4.45114262 -1.11178897  1.90997283],[-0.41190747 -0.7273133  -0.1714235 ],-1.5124637695203718,45.34699811924934,1476.5655723639618,391.1912530543577,442.6172122514053,-0.4119074688313371,-0.7273133028323419,-0.17142349906215223
44.0,[1521.60044167  379.89472224  461.90852108],[ 4.51455379 -1.17346652  1.92644995],[-0.4181227  -0.73070955 -0.16951353],-1.5455705123723706,45.29351535252394,1521.600441668658,379.8947222363916,461.90852108376146,-0.4181226994911939,-0.7307095547474898,-0.1695135256017977
44.5,[1567.27001548  367.97494562  481.36353204],[ 4.57808258 -1.23639013  1.94273654],[-0.42433377 -0.73094993 -0.16692269],-1.5785227009608878,45.24003258558969,1567.2700154771512,367.9749456237026,481.3635320443103,-0.4243337741245342,-0.7309499279107055,-0.16692268827220982
45.0,[1613.57544169  355.41944422  500.98032313],[ 4.64172334 -1.30056287  1.95883099],[-0.42944865 -0.73007376 -0.16521166],-1.6113233228813517,45.18654982387647,1613.5754416931397,355.41944422340225,500.98032312980774,-0.42944864926236154,-0.7300737598462215,-0.1652116607659114
45.5,[1660.51781169  342.21570895  520.75695624],[ 4.7054704  -1.36598769  1.97473173],[-0.43393055 -0.72966576 -0.16519967],-1.6439752107956211,45.13306706476674,1660.5178116888462,342.21570894513405,520.7569562445395,-0.4339305529441268,-0.7296657620303558,-0.1651996717280059
46.0,[1708.09816007  328.35120138  540.69147741],[ 4.76931807 -1.43266752  1.99043719],[-0.43829087 -0.72994653 -0.16756849],-1.6764810471892748,45.07958430393291,1708.0981600656564,328.3512013798096,540.6914774144266,-0.4382908683311081,-0.7299465295185548,-0.16756849033062152
46.5,[1756.31746436  313.81335462  560.78191686],[ 4.83326063 -1.50060516  2.00594581],[-0.4431768  -0.73078248 -0.17251109],-1.7088433676285522,45.02610154669807,1756.3174643636132,313.81335461584536,560.7819168614708,-0.44317680252664066,-0.7307824752173043,-0.17251108772080054
47.0,[1805.17664497  298.58957397  581.02628919],[ 4.89729237 -1.56980336  2.02125607],[-0.44666147 -0.73129172 -0.1754632 ],-1.7410645771626097,44.97261878946323,1805.176644972405,298.5895739710978,581.0262891918607,-0.44666146835826487,-0.7312917159078484,-0.17546320454466277
47.5,[1854.67656487  282.66723774  601.42259357],[ 4.96140754 -1.64026479  2.03636643],[-0.44808299 -0.73241016 -0.17663779],-1.7731469512346325,44.91913603551648,1854.6765648657308,282.6672377366037,601.4225935705713,-0.4480829939826947,-0.732410155784219,-0.17663778682476378
48.0,[1904.81802948  266.03369803  621.9688138 ],[ 5.02560036 -1.71199203  2.0512754 ],[-0.44746864 -0.73474787 -0.1771863 ],-1.8050926448853495,44.86565328084113,1904.8180294844715,266.03369802875534,621.9688137960158,-0.44746863607472953,-0.734747873135936,-0.17718629614227643
48.5,[1955.60178648  248.67628152  642.66291845],[ 5.08986505 -1.7849876   2.06598146],[-0.44532926 -0.73830976 -0.17763123],-1.8369036967293986,44.81217052997362,1955.6017864758599,248.6762815160779,642.6629184463766,-0.44532926338580126,-0.7383097606528402,-0.177631225096173
49.0,[2007.02852555  230.5822902   663.50286106],[ 5.15419581 -1.85925394  2.08048315],[-0.44358963 -0.74116258 -0.17782198],-1.8685820391459775,44.7586877802524,2007.028525548819,230.58229020319754,663.5028610613545,-0.44358963416283737,-0.7411625843756817,-0.17782198292137796
